Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS
brain_AXT1_201_6002836,0,0.9915707755983189,tensor(0.9983),tensor(0.8545),39.35730623492258,0.0317791923880577
brain_AXT1_201_6002836,1,0.9578545785233415,tensor(0.9962),tensor(0.7427),32.22299484797148,0.0638500079512596
brain_AXT1_201_6002836,2,0.9572352457858988,tensor(0.9956),tensor(0.7681),33.599260868191855,0.0627837851643562
brain_AXT1_201_6002836,3,0.9952999582595664,tensor(0.9992),tensor(0.9139),39.14370707106519,0.0167625583708286
brain_AXT1_201_6002836,4,0.982607956180237,tensor(0.9977),tensor(0.8573),37.30230057656611,0.0325062125921249
brain_AXT1_201_6002836,5,0.979515263691904,tensor(0.9975),tensor(0.8302),38.67791036430528,0.0387592315673828
brain_AXT1_201_6002836,6,0.9790150387343748,tensor(0.9979),tensor(0.8316),36.76577000620319,0.0375906378030777
brain_AXT1_201_6002836,7,0.9857832994502054,tensor(0.9987),tensor(0.8599),38.63499089952885,0.0315551124513149
brain_AXT1_201_6002836,8,0.9941266388555032,tensor(0.9988),tensor(0.8483),40.55417734680421,0.0311112012714147
brain_AXT1_201_6002836,9,0.99323533697869,tensor(0.9989),tensor(0.8528),38.5598673833548,0.0271492041647434
brain_AXT1_201_6002779,0,0.9838401580608824,tensor(0.9982),tensor(0.8593),33.40836794436896,0.0306746419519186
brain_AXT1_201_6002779,1,0.9902218688868972,tensor(0.9986),tensor(0.8790),39.23792890814868,0.0245309472084045
brain_AXT1_201_6002779,2,0.9880742757594912,tensor(0.9980),tensor(0.8479),40.23636354460571,0.036804798990488
brain_AXT1_201_6002779,3,0.9727918867384492,tensor(0.9965),tensor(0.7886),36.47262150768883,0.0648613199591636
brain_AXT1_201_6002779,4,0.9553630062311056,tensor(0.9957),tensor(0.7468),30.10022799884849,0.08296749740839
brain_AXT1_201_6002779,5,0.9685769294048976,tensor(0.9969),tensor(0.7845),33.88893045601614,0.0565340928733348
brain_AXT1_201_6002779,6,0.997891847800866,tensor(0.9995),tensor(0.9140),44.53270573530229,0.0175567232072353
brain_AXT1_201_6002779,7,0.9891381054803086,tensor(0.9983),tensor(0.8309),37.46399453308329,0.0335159711539745
brain_AXT1_201_6002779,8,0.994224899693191,tensor(0.9990),tensor(0.8866),38.37205612529147,0.021164683625102
brain_AXT1_201_6002779,9,0.9930330795696446,tensor(0.9985),tensor(0.8458),40.673399230185694,0.0274207592010498
brain_AXT1_201_6002717,0,0.9884352488761946,tensor(0.9986),tensor(0.8691),40.23715604063253,0.030907642096281
brain_AXT1_201_6002717,1,0.9929549674017896,tensor(0.9985),tensor(0.8559),36.068013126592845,0.0301682222634553
brain_AXT1_201_6002717,2,0.9776210910259462,tensor(0.9976),tensor(0.8341),30.152730498790824,0.0359424576163291
brain_AXT1_201_6002717,3,0.984322170410597,tensor(0.9979),tensor(0.8118),34.0670111475417,0.046523168683052
brain_AXT1_201_6002717,4,0.9863435358160092,tensor(0.9983),tensor(0.8573),37.56835459763355,0.0247270315885543
brain_AXT1_201_6002717,5,0.9866048615432416,tensor(0.9981),tensor(0.8315),38.580619798645785,0.0286625791341066
brain_AXT1_201_6002717,6,0.9921214591896474,tensor(0.9983),tensor(0.8029),36.25746577882053,0.0352083966135978
brain_AXT1_201_6002717,7,0.9955151230843567,tensor(0.9993),tensor(0.8794),38.35128777494952,0.0202840752899646
brain_AXT1_201_6002717,8,0.9964383002879292,tensor(0.9993),tensor(0.9007),41.29205445076128,0.0131039768457412
brain_AXT1_201_6002717,9,0.97175375478166,tensor(0.9965),tensor(0.7304),32.49118778499172,0.0388985015451908
brain_AXT1PRE_210_6001891,0,0.9947726126155836,tensor(0.9990),tensor(0.8889),42.22125281051266,0.0357345975935459
brain_AXT1PRE_210_6001891,1,0.9970115132245302,tensor(0.9994),tensor(0.8946),37.81819783614475,0.032365757972002
brain_AXT1PRE_210_6001891,2,0.9959597849136256,tensor(0.9993),tensor(0.9251),46.115058063214974,0.0224499907344579
